name,position,z_type,z_score,x
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_1.npy,kaib__2_4,up,6.3272295,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_3.npy,kaib__2_4,common,54.149902,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_3.npy,kaib__2_4,right,13.861564,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_3.npy,kaib__2_4,up,6.7379384,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_1.npy,kaib__2_4,common,63.13122,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_1.npy,kaib__2_4,right,16.25589,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_1.npy,kaib__2_4,up,6.3873777,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_3.npy,kaib__2_4,common,55.73463,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_3.npy,kaib__2_4,right,10.246477,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_3.npy,kaib__2_4,up,6.59958,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_1.npy,kaib__2_4,common,67.46159,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_1.npy,kaib__2_4,right,20.734444,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_1.npy,kaib__2_4,up,6.2298427,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_0.npy,kaib__2_4,common,58.034233,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_0.npy,kaib__2_4,right,21.37679,2
kaib/kaib__2_4/rank_023_alphafold2_model_5_seed_003_msa_extra_msa_0.npy,kaib__2_4,up,6.2127957,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_2.npy,kaib__2_4,common,62.55308,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_2.npy,kaib__2_4,right,15.6705885,2
kaib/kaib__2_4/rank_020_alphafold2_model_3_seed_003_msa_extra_msa_2.npy,kaib__2_4,up,5.9131455,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_0.npy,kaib__2_4,common,55.175957,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_0.npy,kaib__2_4,right,23.09602,2
kaib/kaib__2_4/rank_016_alphafold2_model_1_seed_002_msa_extra_msa_0.npy,kaib__2_4,up,6.506016,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_1.npy,kaib__2_4,common,61.297737,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_1.npy,kaib__2_4,right,13.961538,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_1.npy,kaib__2_4,up,7.2745953,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_3.npy,kaib__2_4,common,52.83353,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_3.npy,kaib__2_4,right,10.014436,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_3.npy,kaib__2_4,up,8.443653,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_2.npy,kaib__2_4,common,57.526802,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_2.npy,kaib__2_4,right,16.218939,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_2.npy,kaib__2_4,up,5.8099785,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_0.npy,kaib__2_4,common,55.66911,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_0.npy,kaib__2_4,right,21.209335,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_0.npy,kaib__2_4,up,6.916616,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_2.npy,kaib__2_4,common,57.95072,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_2.npy,kaib__2_4,right,12.094303,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_2.npy,kaib__2_4,up,6.161501,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_0.npy,kaib__2_4,common,51.23639,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_0.npy,kaib__2_4,right,24.555454,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_0.npy,kaib__2_4,up,6.265079,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_1.npy,kaib__2_4,common,64.97528,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_1.npy,kaib__2_4,right,14.99513,2
kaib/kaib__2_4/rank_013_alphafold2_model_4_seed_000_msa_extra_msa_1.npy,kaib__2_4,up,8.503421,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_3.npy,kaib__2_4,common,50.217842,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_3.npy,kaib__2_4,right,12.556989,2
kaib/kaib__2_4/rank_011_alphafold2_model_1_seed_003_msa_extra_msa_3.npy,kaib__2_4,up,6.072384,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_1.npy,kaib__2_4,common,64.65948,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_1.npy,kaib__2_4,right,15.91719,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_1.npy,kaib__2_4,up,5.153693,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_0.npy,kaib__2_4,common,54.857685,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_0.npy,kaib__2_4,right,18.443363,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_0.npy,kaib__2_4,up,6.4666896,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_3.npy,kaib__2_4,common,55.9871,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_3.npy,kaib__2_4,right,11.659506,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_3.npy,kaib__2_4,up,7.9886703,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_2.npy,kaib__2_4,common,53.314053,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_2.npy,kaib__2_4,right,13.365977,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_2.npy,kaib__2_4,up,6.64561,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_1.npy,kaib__2_4,common,55.900017,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_1.npy,kaib__2_4,right,13.627898,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_1.npy,kaib__2_4,up,7.498494,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_0.npy,kaib__2_4,common,52.82716,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_0.npy,kaib__2_4,right,20.581417,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_0.npy,kaib__2_4,up,5.9676237,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_2.npy,kaib__2_4,common,51.036507,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_2.npy,kaib__2_4,right,15.360566,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_2.npy,kaib__2_4,up,7.3200274,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_3.npy,kaib__2_4,common,51.87964,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_3.npy,kaib__2_4,right,12.315867,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_3.npy,kaib__2_4,up,8.241903,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_0.npy,kaib__2_4,common,51.291904,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_0.npy,kaib__2_4,right,20.826889,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_0.npy,kaib__2_4,up,7.1936836,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_1.npy,kaib__2_4,common,67.460526,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_1.npy,kaib__2_4,right,13.43562,2
kaib/kaib__2_4/rank_014_alphafold2_model_1_seed_000_msa_extra_msa_1.npy,kaib__2_4,up,5.3198576,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_2.npy,kaib__2_4,common,59.25104,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_2.npy,kaib__2_4,right,15.055683,2
kaib/kaib__2_4/rank_025_alphafold2_model_5_seed_002_msa_extra_msa_2.npy,kaib__2_4,up,6.308734,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_3.npy,kaib__2_4,common,57.90925,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_3.npy,kaib__2_4,right,14.694819,2
kaib/kaib__2_4/rank_008_alphafold2_model_2_seed_001_msa_extra_msa_3.npy,kaib__2_4,up,5.70496,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_2.npy,kaib__2_4,common,54.69468,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_2.npy,kaib__2_4,right,16.58217,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_2.npy,kaib__2_4,up,6.9008107,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_1.npy,kaib__2_4,common,59.204285,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_1.npy,kaib__2_4,right,13.490942,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_1.npy,kaib__2_4,up,6.682065,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_0.npy,kaib__2_4,common,54.60363,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_0.npy,kaib__2_4,right,19.006985,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_0.npy,kaib__2_4,up,6.5642433,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_3.npy,kaib__2_4,common,47.917686,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_3.npy,kaib__2_4,right,10.111885,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_3.npy,kaib__2_4,up,6.717801,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_1.npy,kaib__2_4,common,66.64923,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_1.npy,kaib__2_4,right,13.298843,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_1.npy,kaib__2_4,up,6.2212706,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_2.npy,kaib__2_4,common,56.969738,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_2.npy,kaib__2_4,right,18.481945,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_2.npy,kaib__2_4,up,7.315283,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_3.npy,kaib__2_4,common,55.25535,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_3.npy,kaib__2_4,right,11.885648,2
kaib/kaib__2_4/rank_015_alphafold2_model_3_seed_001_msa_extra_msa_3.npy,kaib__2_4,up,6.873146,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_0.npy,kaib__2_4,common,54.028107,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_0.npy,kaib__2_4,right,21.776608,2
kaib/kaib__2_4/rank_018_alphafold2_model_4_seed_003_msa_extra_msa_0.npy,kaib__2_4,up,6.9934196,2
kaib/kaib__2_4/rank_010_alphafold2_model_3_seed_002_msa_extra_msa_3.npy,kaib__2_4,common,45.860176,2
kaib/kaib__2_4/rank_010_alphafold2_model_3_seed_002_msa_extra_msa_3.npy,kaib__2_4,right,10.028364,2
kaib/kaib__2_4/rank_010_alphafold2_model_3_seed_002_msa_extra_msa_3.npy,kaib__2_4,up,5.473714,2
kaib/kaib__2_4/rank_001_alphafold2_model_4_seed_004_msa_extra_msa_1.npy,kaib__2_4,common,61.35224,2
